Name,Category,Style,Star,lat,lon
10 Scotts,Eatery,Restaurants|Vegetarian Friendly|Gluten Free Options,4.0,1.3063773,103.8335462
8 Korean BBQ,Eatery,Restaurants,4.0,1.2892725,103.8441659
Acqua e Farina,Eatery,Restaurants|Vegetarian Friendly|Vegan Options,4.5,1.3581088,103.7656573
Alley on 25,Eatery,Restaurants,4.5,1.2992066,103.8577299
Amaravati,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,1.307299,103.8488333
"Anglo Indian Cafe & Bar,Chijmes",Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,1.294853,103.8527514
Artemis Grill & Sky Bar,Eatery,Restaurants,4.5,1.2818026,103.8501248
Bar Square,Eatery,Quick Bites,5.0,1.2992107,103.8555366
Bedrock Origin,Eatery,Restaurants,5.0,1.2531961,103.8194919
Beef Yakiniku Dining Yakiniquest,Eatery,Restaurants,4.5,1.3020878,103.8363403
Bistecca Tuscan Steakhouse,Eatery,Restaurants,4.5,1.2932694,103.8413389
Black Tap - Singapore,Eatery,Restaurants,4.5,1.2821315,103.8575552
Blu Jaz,Eatery,Restaurants|Vegetarian Friendly|Vegan Options,4.0,1.3006144,103.8589225
Blu Kouzina Siglap,Eatery,Restaurants,5.0,1.3127669,103.924493
Brewerkz (Riverside Point),Eatery,Restaurants|Vegetarian Friendly,4.0,1.2897813,103.8438493
Caffe Fernet,Eatery,Restaurants|Vegetarian Friendly|Gluten Free Options,4.0,1.2827954,103.8537528
CAPPAdocia TURKISH & MEDITERRANEAN RESTAURANT,Eatery,Restaurants|Halal|Vegetarian Friendly|Vegan Options,5.0,1.3009115,103.8599095
Capri Trattoria & Pizzeria,Eatery,Restaurants|Vegetarian Friendly,4.5,1.3358065,103.7865413
Carnivore Brazilian Churrascaria,Eatery,Restaurants,4.0,1.2948998,103.8519775
Carousel Buffet,Eatery,Restaurants|Halal|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,1.3070085,103.8320447
Casa Tartufo,Eatery,Restaurants|Vegetarian Friendly,4.0,1.3553303,103.874904
Changi Village Market Hawker Centre,Eatery,Restaurants,4.0,1.3897996,103.9879815
Chock Full of Beans,Eatery,Restaurants,4.0,1.3894362,103.9873666
Cumi Bali Indonesian Restaurant,Eatery,Restaurants|Vegetarian Friendly,4.0,1.2781374,103.844249
Cut by Wolfgang Puck,Eatery,Restaurants,4.5,1.2852843,103.857381
DB Bistro & Oyster Bar,Eatery,Restaurants|Vegetarian Friendly|Gluten Free Options,4.0,1.2859317,103.8594874
Din Tai Fung (Paragon Branch),Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,1.3039754,103.8351281
Din Tai Fung (RWS Branch),Eatery,Restaurants|Vegetarian Friendly,4.0,1.257263,103.8205479
Dusk Restaurant & Bar,Eatery,Restaurants,4.5,1.2711829,103.8196743
Edge Food Theatre,Eatery,Restaurants,4.5,1.29237,103.8587639
Elemen,Eatery,Restaurants|Vegetarian Friendly|Vegan Options,4.0,1.2920715,103.859851
En Sushi,Eatery,Restaurants,4.5,1.2990976,103.8515391
Extra Virgin Pizza,Eatery,Restaurants|Vegetarian Friendly|Vegan Options,4.0,1.2788418,103.8514634
Fook Kin,Eatery,Restaurants,4.0,1.2980447,103.8387366
Forketta,Eatery,Restaurants|Vegetarian Friendly,4.0,1.3034018,103.8079598
G7 Sin Ma Live Seafood Restaurant,Eatery,Restaurants,4.5,1.2873785,103.8448903
Garibaldi Italian Restaurant & Bar,Eatery,Restaurants,4.0,1.2964499,103.8549138
Gokul Vegetarian,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,1.3064574,103.852627
GRETL German Burger Grill,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,1.3059347,103.8307499
Guccio Ristorante,Eatery,Restaurants,4.5,1.2822832,103.8472133
Hakumai Sushi and Omakase,Eatery,Restaurants,4.5,1.276153,103.845664
HANS IM GLUCK German Burgergrill,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,1.2635436,103.8232134
Hashida Singapore,Eatery,Restaurants,4.5,1.2805457,103.8466433
Hutong Northern Chinese Cuisine,Eatery,Restaurants,4.0,1.2899848,103.8435422
Imperial Treasure Super Peking Duck Restaurant,Eatery,Restaurants|Vegetarian Friendly|Gluten Free Options,4.0,1.2784217,103.8514742
IndoChili - Halal Indonesian Restaurant,Eatery,Restaurants|Halal|Vegetarian Friendly|Vegan Options,4.5,1.2929361,103.8312267
Ippudo Singapore,Eatery,Restaurants,4.0,1.352083,103.819836
IZY Dining & Bar,Eatery,Restaurants,4.5,1.2824446,103.8465431
Jade Palace Seafood,Eatery,Restaurants|Vegetarian Friendly,4.5,1.3059609,103.8285176
Jiang-Nan Chun,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,1.3051922,103.8284188
Josephine - French Cuisine & Wine Bar,Eatery,Restaurants,5.0,1.2813531,103.8472588
JUMBO Seafood (East Coast Seafood Centre),Eatery,Restaurants,4.0,1.3051669,103.930673
Katong Kitchen,Eatery,Restaurants|Halal|Vegetarian Friendly,4.0,1.3031495,103.9032356
Kazbar,Eatery,Restaurants,4.5,1.2834707,103.8487683
KENG ENG KEE SEAFOOD,Eatery,Restaurants,4.0,1.2857843,103.8037037
KITEN,Eatery,Restaurants,5.0,1.2839639,103.8449517
Kith Cafe Robertson Quay,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,1.2897836,103.8380356
Kko Kko Na Ra - Tanjong Pagar Main Outlet,Eatery,Restaurants,4.0,1.2787992,103.8437687
Knots Cafe and Living,Eatery,Restaurants|Vegetarian Friendly,4.0,1.3293136,103.8901738
Kucina Italian Restaurant,Eatery,Restaurants|Halal|Vegetarian Friendly|Vegan Options,4.5,1.3149417,103.8945413
Kuriya Dining,Eatery,Restaurants,4.5,1.2931553,103.8326079
Latteria Mozzarella Bar,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,1.2785939,103.8429295
LAVO Italian Restaurant & Rooftop Bar,Eatery,Restaurants,4.5,1.2826231,103.8600999
Le Binchotan,Eatery,Restaurants,4.0,1.282329,103.847521
Le Noir Bar & Lounge,Eatery,Restaurants,5.0,1.2845342,103.8567298
Le Petit Chef - Singapore,Eatery,Restaurants,4.5,1.306431,103.832783
Legendary Bak Kut Teh at Rangoon,Eatery,Restaurants,4.0,1.3162606,103.8534135
Lerouy,Eatery,Restaurants,4.5,1.281756,103.8474108
Les Bouchons Rochester,Eatery,Restaurants,4.5,1.3062487,103.7876014
LINO @ Binjai Park,Eatery,Restaurants|Vegetarian Friendly|Gluten Free Options,4.0,1.3357543,103.7866954
Longtail Asian Brasserie & Bar,Eatery,Restaurants|Vegetarian Friendly,4.0,1.2825799,103.8534359
Loulou - French Cuisine & Wine Bar,Eatery,Restaurants,5.0,1.2794509,103.841602
Mangiamo Pizzeria,Eatery,Restaurants|Vegetarian Friendly,4.5,1.331746,103.9443323
Matsuya Dining,Eatery,Restaurants,4.5,1.2956367,103.8554401
Meating Place,Eatery,Restaurants,4.5,1.2995117,103.8562586
Mellben Seafood,Eatery,Restaurants,4.0,1.3686044,103.836948
