Name,Category,Style,Star
10 Scotts,Eatery,Restaurants|Vegetarian Friendly|Gluten Free Options,4.0
Amaravati,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0
Alley on 25,Eatery,Restaurants,4.0
Arteastiq Bistro & Bar,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0
Black Tap - Singapore,Eatery,Restaurants,4.0
Crystal Jade Kitchen,Eatery,Restaurants,4.0
G7 Sin Ma Live Seafood Restaurant,Eatery,Restaurants,4.0
"PARKROYAL COLLECTION Marina Bay, Singapore",Hotel,Bay View|Marina View,4.0
Rest Bugis Hotel,Hotel,Family|Centrally Located,4.0
Shangri-La Singapore,Hotel,Park View|Residential Neighborhood,4.0
Studio M Hotel,Hotel,Trendy|Mid-range,4.0
YWCA Fort Canning,Hotel,Park View|Centrally Located,4.0
