Name,Category,Style,Star,Long,Lat
10 Scotts,Eatery,Restaurants|Vegetarian Friendly|Gluten Free Options,4.0,103.8335462,1.3063773
8 Korean BBQ,Eatery,Restaurants,4.0,103.8441659,1.2892725
Acqua e Farina,Eatery,Restaurants|Vegetarian Friendly|Vegan Options,4.5,103.7656573,1.3581088
Alley on 25,Eatery,Restaurants,4.5,103.8577299,1.2992066
Amaravati,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,103.8488333,1.307299
"Anglo Indian Cafe & Bar,Chijmes",Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,103.8527514,1.294853
Artemis Grill & Sky Bar,Eatery,Restaurants,4.5,103.8501248,1.2818026
Bar Square,Eatery,Quick Bites,5.0,103.8555366,1.2992107
Bedrock Origin,Eatery,Restaurants,5.0,103.8194919,1.2531961
Beef Yakiniku Dining Yakiniquest,Eatery,Restaurants,4.5,103.8363403,1.3020878
Bistecca Tuscan Steakhouse,Eatery,Restaurants,4.5,103.8413389,1.2932694
Black Tap - Singapore,Eatery,Restaurants,4.5,103.8575552,1.2821315
Blu Jaz,Eatery,Restaurants|Vegetarian Friendly|Vegan Options,4.0,103.8589225,1.3006144
Blu Kouzina Siglap,Eatery,Restaurants,5.0,103.924493,1.3127669
Brewerkz (Riverside Point),Eatery,Restaurants|Vegetarian Friendly,4.0,103.8438493,1.2897813
Caffe Fernet,Eatery,Restaurants|Vegetarian Friendly|Gluten Free Options,4.0,103.8537528,1.2827954
CAPPAdocia TURKISH & MEDITERRANEAN RESTAURANT,Eatery,Restaurants|Halal|Vegetarian Friendly|Vegan Options,5.0,103.8599095,1.3009115
Capri Trattoria & Pizzeria,Eatery,Restaurants|Vegetarian Friendly,4.5,103.7865413,1.3358065
Carnivore Brazilian Churrascaria,Eatery,Restaurants,4.0,103.8519775,1.2948998
Carousel Buffet,Eatery,Restaurants|Halal|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.5,103.8320447,1.3070085
Casa Tartufo,Eatery,Restaurants|Vegetarian Friendly,4.0,103.874904,1.3553303
Changi Village Market Hawker Centre,Eatery,Restaurants,4.0,103.9879815,1.3897996
Chock Full of Beans,Eatery,Restaurants,4.0,103.9873666,1.3894362
Cloudstreet,Eatery,Restaurants,4.5,103.8468713,1.2807935
Cumi Bali Indonesian Restaurant,Eatery,Restaurants|Vegetarian Friendly,4.0,103.844249,1.2781374
Cut by Wolfgang Puck,Eatery,Restaurants,4.5,103.857381,1.2852843
DB Bistro & Oyster Bar,Eatery,Restaurants|Vegetarian Friendly|Gluten Free Options,4.0,103.8594874,1.2859317
Din Tai Fung (Paragon Branch),Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,103.8351281,1.3039754
Din Tai Fung (RWS Branch),Eatery,Restaurants|Vegetarian Friendly,4.0,103.8205479,1.257263
Dusk Restaurant & Bar,Eatery,Restaurants,4.5,103.8196743,1.2711829
Edge Food Theatre,Eatery,Restaurants,4.5,103.8587639,1.29237
Elemen,Eatery,Restaurants|Vegetarian Friendly|Vegan Options,4.0,103.859851,1.2920715
En Sushi,Eatery,Restaurants,4.5,103.8515391,1.2990976
Extra Virgin Pizza,Eatery,Restaurants|Vegetarian Friendly|Vegan Options,4.0,103.8514634,1.2788418
Fook Kin,Eatery,Restaurants,4.0,103.8387366,1.2980447
Forketta,Eatery,Restaurants|Vegetarian Friendly,4.0,103.8079598,1.3034018
French Fold Telok Ayer,Eatery,Restaurants|Vegetarian Friendly,5.0,103.8471877,1.2800708
