,Name,Category,Style,Star,Date,Rating,ReviewTitle,Review,Sentiment
0,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Jul-22,3,There are flys,There were flys when I had deserts course. They did offer to change seat for my but it was already my last course,positive
1,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Jun-22,4,High Tea 10 Scotts,A lovely ambience. Good food. Enjoyed the high tea. There was good balance of savoury and sweet dishes,positive
2,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Apr-22,5,Excellent service,Worth every penny. Wish we had more time to enjoy the food as well as the company. Couldn’t be helped I suppose because of the restrictions.,positive
3,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Jan-22,3,Good service and ambience but dessert was average,"Went to 10 Scott’s upon reading many good reviews. Service was good and ambience were pleasant for gathering. Savory pastries were palatable and well presented, however dessert were average. My first and last visit.",positive
4,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Oct-21,5,The best high tea quality and Excellent service,They know what they doing. Every dishes created from great food knowledge. They did not use cheap product to mark up the price. Service quality is top notxh,positive
5,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Jul-21,5,"Amazing food, great value for money","One of the best high tea experiences in Singapore in a cozy living room ambience! Quality starters, good selection of drinks, generous portions. Only wished there was more dessert variety!",positive
6,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Apr-21,5,10Scotts,"Tea was great, staff at 10 Scotts very attentive and helpful. However, they did not have my reservation in their system.",positive
7,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Jan-21,5,"Dedicated staff, excellent food - we will keep returning!","Staff were thoughtful, very responsive. We enjoyed the ambience, the service. The food was also wonderful. I’m concocting an excuse to return ASAP.",positive
8,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Nov-20,5,Best place for high tea,Food was tasty have variety of food with good selection of tea great service not too noisy recommended 👍🏻,positive
9,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Nov-20,5,Thanksgiving afternoon,Kumar was impeccably professional and attentive. The food was totally amazing and the ambience just lovely. A great way to spend a Long afternoon - thank you...,positive
10,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Nov-20,5,Excellent Service,I was there celebrating my wife’s birthday. The food and service are excellent! Will definitely visit again.,positive
11,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Nov-20,5,Satisfied customer,"We had a great high tea. The place is clean, the food was all good got many varieties to choose from. The staff were friendly and attentive. Highly recommended!",positive
12,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Nov-20,4,Nice place to high tea with friends,Nice place to dine with friends... Staff are friendly and nice ... Seafood are fresh But variety of food is quite limited Dessert is nice,positive
13,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Aug-20,4,High Tea at 10 Scotts,It gives a relaxing and layback ambience for the diners to enjoy the food. A great selection of both savoury and sweet.,positive
14,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Aug-20,5,High tea at 10 Scotts,Excellent service by Shea and Nicolas - the food arrived promptly and was delicious. Would recommend the rosebuds tea,positive
15,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Aug-20,5,Weekend High Tea,I would like to give compliments to Loges and his team for the amazing service. My friends and I have a great time there and thumb up for the great service and recommendation of the food. Keep it up! :),positive
