DateOfReview,Rating,Title,Review
"January 15, 2023",3,Convenient to our hotel.,We were just looking for a late evening snack to bring to our hotel! Yay to McDonalds for the most predictable easy inexpensive snack!
"January 13, 2023",4,First time trying something new,"First time trying their prosperity burger, it was fabulous. Tried their highly raved mcspicy too, it was a little too spicy for my liking but it was flavourful and juicy. Hope it can be sold worldwide."
"March 8, 2021",5,McDonald's Kit Kat McFlurry! #mcdonalds #kitkat #mcflurry,McDonald's Kit Kat McFlurry: so smooth creamy rich with kit kat greatness. So delicious and tasty! #mcdonalds #mac #maplesyrup #mcgriddles #sausage #chocolate #pie #kitkat #mcflurry #filetofish #dexperience #singapore #tastetest #niceornot #kallang
"October 18, 2019",3,Nice,The service was very friendly and helpful The main problem is that the portions are small so we needed to reorder
"April 20, 2019",4,Was in a hurry and needed to eat quickly,This McDonald;'s was really busy when we were there but they moved rather quickly. The food was up to their standards and was nice to get service so fast.
"August 10, 2017",4,Nice place,Good location. Good and fast service of the staff. The taste of the food was also good. Big place so crowd is divided.
"February 28, 2017",1,Fast food,"I don't understand how can McDonald be in here. Horrible burgers, dead meat..... Eat here when every where is closed and you are short of cash."
"January 15, 2023",3,Convenient to our hotel.,We were just looking for a late evening snack to bring to our hotel! Yay to McDonalds for the most predictable easy inexpensive snack!
"January 13, 2023",4,First time trying something new,"First time trying their prosperity burger, it was fabulous. Tried their highly raved mcspicy too, it was a little too spicy for my liking but it was flavourful and juicy. Hope it can be sold worldwide."
"April 26, 2021",5,Good staff at the entry of McDonalds Parkway Parade Branch,Staff at the entry point of McDonald's Parkway Parade Branch was a very humble and friendly lady. She greets everybody when they scanned safe entry QR code and had the temperature checked. She even wished the customer goodbye and thankyou when they leave the restaurant....More
"March 8, 2021",5,McDonald's Kit Kat McFlurry! #mcdonalds #kitkat #mcflurry,McDonald's Kit Kat McFlurry: so smooth creamy rich with kit kat greatness. So delicious and tasty! #mcdonalds #mac #maplesyrup #mcgriddles #sausage #chocolate #pie #kitkat #mcflurry #filetofish #dexperience #singapore #tastetest #niceornot #kallang
"October 18, 2019",3,Nice,The service was very friendly and helpful The main problem is that the portions are small so we needed to reorder
"September 20, 2019",3,Strange experience,"I ordered a regular hamburger with catsup, onions, and pickles but, no mustard there. But, the person who waited on me did not understand me so, I had to point it out with a pic on the menu. They serve corn with melted butter. I never saw it before at a McDonald's in the USA."
"April 20, 2019",4,Was in a hurry and needed to eat quickly,This McDonald;'s was really busy when we were there but they moved rather quickly. The food was up to their standards and was nice to get service so fast.
"April 23, 2018",5,OMG BEST BURGER EVER!,"Why the fricken do we not have this burgers in Europe or the states!  My mouth gets watery only when I?€?m thinking about this 2 beautiful food objects!  The first of why do we not have the same quality of chicken?!? And why can they ( Singapore) have grilled chicken meanwhile we only have fried chicken! Not fair!  The first is a grilled chicken salad with amazing taste and amazing dressing! Everything went super!  And the other is the chicken burger! Omg! It has red coleslaw, pineapple, grilled chicken, cheese, lettuce and an amazing sauce! I need This in my life every day!  If your in Singapore and haven?€?t try this one then do because you won?€?t regret it at all!  Let me know if you want me to visit something else in Singapore. If you want to see more pictures from my trips please check out my Instagram/whaatzzupp  Thanks for reading, Until next time see you soon!  Location:*** Food: ***** Price: *****"
"February 19, 2018",5,Local & High Tech Too,"This visit to Singapore I discovered a new taste and way to order. You can order automatically through a screen to skip the usual line to order in person, All orders show up on a screen and are picked up from the same counter. Despite my reluctance to place an automatic order, I did keep coming back for the Lychee McFizz that is refreshing."
"January 21, 2018",1,Fast food,Couldn?€?t get the order correct Even when took it back it took 4 attempts to get it right Fries was flat cold This has to be the worse McDonald?€?s I have been to and iv traveled all over Service and rudeness and really bad Manager just hides away when there?€?s a complaint as well
