Name,Category,Style,Star,Date,Rating,ReviewTitle,Review
Hotel G Singapore,Hotel,Trendy|Modern,3.5,Mar-23,3,I'd go other hotels next time,"The entire room only has 1 plug that is next to a small work desk, my husband and I had to charge our phones, laptops, we also need to boil water, dry hair, only 1 plug in the room is very inconvenient.    The room is tight, there's no space for opening two suitcases, no ironing facilities, no fridge, which is overall again inconvenient.    The staff are friendly and it's in the middle of many shops and the location is very centered."
Hotel G Singapore,Hotel,Trendy|Modern,3.5,Mar-23,5,Good review,The room is a little tight for us but good service from Thi Thi and Yin Yin. I will be staying for a few more days and Iâ€™m sure everything will be fine. Front fest service was very good as well. Thank you Guys!
Hotel G Singapore,Hotel,Trendy|Modern,3.5,Mar-23,5,Cosy and clean hotel,First time staying in hotel g. Room is nicer than hotels nearby. Will recommend for a short stay. Room is on a smaller side. Service from the front line staff make up for the shortfall. Nice hotel to recommend
Hotel G Singapore,Hotel,Trendy|Modern,3.5,Mar-23,5,comfortable stay,"nice and comfortable room. had breakfast for 3 days. food is of good quality but hope for more variety. apart from that, stay Is comfortable with friendly and helpful front desk staff. will recommend this hotel"
Hotel G Singapore,Hotel,Trendy|Modern,3.5,Mar-23,5,Nice hotel with friendly staff,2nd stay in hotel G Singapore! Tired the greater room this time round. Room is clean with helpful and cheerful front desk staff especially Aiman who assisted us with check in. Will recommend this hotel to my friends coming to Singapore
Hotel G Singapore,Hotel,Trendy|Modern,3.5,Mar-23,5,Good services and good hospitality,Staffs here are friendly and helpful. Even the housekeepers (especially Lam) are super helpful and polite too! Requests are attended after minutes and they always make sure my request is fulfilled.  Thanks!
Hotel G Singapore,Hotel,Trendy|Modern,3.5,Mar-23,5,The Khin chronicles of Hotel G!,We loved our stay at hotel G. The rooms are cozy but fun with friends! We stayed in a room with 2 single beds. We had clean towels and water every day! The standard of cleanliness is world class and the staff are super friendly and always happy to assist especially Khin!
Hotel G Singapore,Hotel,Trendy|Modern,3.5,Mar-23,5,Great Location and Great Staff,"Interesting design.... Location is amazing.... Staff are great.. .IN particular Ziwei, Bella and Aiman! Thanks for making this stay so relaxing..... Definitely come back here and would recommend to others..."
Hotel G Singapore,Hotel,Trendy|Modern,3.5,Feb-23,5,We enjoyed our stay!,"My fiancÃ© and I enjoyed our stay at Hotel G! The manager Daryl, who received us, was very accommodating and even upgraded our bed from Queen to King size when he found out we were engaged.    The room itself was very clean and spacious, very comfortable. All the room features were definitely up to par. I only hope that next time we stay over the water dispensers on each floor are available. But overall it was a pleasant experience.    At checkout, the concierge, Debbie, even helped us by booking a Grab car for us to the airport.    Thank you Hotel G!! Til next time! :)"
Hotel G Singapore,Hotel,Trendy|Modern,3.5,Mar-23,4,Nice place for a short stay,"Nice location, clean rooms and good restaurant. The large balcony in my upgraded room was a pleasant surprise. I do not have any hesitation in recommending this boutique hotel for short stays especially for single person, rooms bit smaller for double occupancy."
